"Time, s","Fuerza mover (1st):Global Rectangular [angulo_45]","Fuerza mover (1st):Global Rectangular [angulo_0]","Fuerza mover (1st):Global Rectangular [angulo_15]","Fuerza mover (1st):Global Rectangular [angulo_30]","Fuerza mover (1st):Global Rectangular [angulo_45]","Fuerza mover (1st):Global Rectangular [angulo_60]","Fuerza mover (1st):Global Rectangular [angulo_75]","Fuerza mover (1st):Global Rectangular [angulo_90]","Fuerza mover (1st):Global Rectangular [angulo_105]","Fuerza mover (1st):Global Rectangular [angulo_120]","Fuerza mover (1st):Global Rectangular [angulo_135]","Fuerza mover (1st):Global Rectangular [angulo_150]","Fuerza mover (1st):Global Rectangular [angulo_165]","Fuerza mover (1st):Global Rectangular [angulo_180]","Fuerza mover (1st):Global Rectangular [angulo_195]","Fuerza mover (1st):Global Rectangular [angulo_210]","Fuerza mover (1st):Global Rectangular [angulo_225]","Fuerza mover (1st):Global Rectangular [angulo_240]","Fuerza mover (1st):Global Rectangular [angulo_255]","Fuerza mover (1st):Global Rectangular [angulo_270]","Fuerza mover (1st):Global Rectangular [angulo_285]","Fuerza mover (1st):Global Rectangular [angulo_300]","Fuerza mover (1st):Global Rectangular [angulo_315]","Fuerza mover (1st):Global Rectangular [angulo_330]","Fuerza mover (1st):Global Rectangular [angulo_345]","Fuerza mover (1st):Global Rectangular [angulo_360]"
"0.0404210526316","-470.340094787","-145.684254572","-263.163156121","-382.319250936","-470.340092259","-485.657443972","-417.295126808","-281.79555393","-123.379352675","41.2186980447","197.401185772","351.454141429","482.459293735","552.973101115","534.561559982","434.46631455","300.004648535","170.241335486","70.6456982564","13.6683847029","-3.7126690186","2.96038290385","10.6083185137","-3.69514311877","-54.9935838231","-145.684251962"
"0.0414315789474","-396.61965917","-119.863038464","-222.82091743","-324.950693995","-396.619660493","-406.431889797","-335.305609354","-203.30785641","-51.995846487","92.891908803","237.18044672","380.181383796","501.040433954","577.865481568","571.232812758","475.572194465","332.30394461","194.454987272","88.1704109467","25.7834310049","4.28845627279","8.44510238663","15.897382445","4.51254946647","-40.0994606979","-119.863035211"
"0.0424421052632","-334.124293069","-98.6464977759","-187.390642934","-274.711784593","-334.124292092","-340.184299886","-275.131916266","-158.447159092","-29.7702567638","91.3308161286","221.047466668","349.941858962","460.214088517","534.733262941","552.813185029","477.578542148","342.539825262","207.976236323","102.360329727","37.8537358918","12.4300915688","12.4994184462","17.8383143181","8.15271919991","-30.020889228","-98.6464977483"
"0.0434526315789","-284.331281816","-81.2021932876","-157.418492762","-232.901358024","-284.331282697","-289.581542841","-234.056602259","-137.464235887","-35.5610696013","69.7897581896","185.629459933","301.694650152","402.828945411","475.348799824","506.909110395","460.283045239","344.433356831","218.071401133","115.985003218","50.4411079363","20.9060949768","16.0962723949","18.4107354151","9.67236031062","-22.7107170651","-81.2021938994"
"0.0444631578947","-246.829064335","-67.198308329","-132.511087531","-199.051012969","-246.829065431","-256.248873251","-214.369531179","-139.086496859","-59.3132734058","32.9778084181","137.19490522","243.007763783","337.766233154","409.454083875","448.096397567","429.814538651","339.485118756","225.713087542","129.465043641","63.5937457539","29.5655575333","19.0460550583","17.5057202088","9.09853714297","-17.9808083289","-67.1983078509"
"0.0454736842105","-218.378881065","-55.9340978192","-110.939167576","-170.442586377","-218.378880686","-237.675509459","-215.611613549","-162.879573211","-99.9023152605","-18.7081953569","75.9415085473","174.295018501","265.056160016","337.645672371","382.735027236","386.797154429","325.195060262","230.118058798","143.059551457","77.9413727782","38.8781966487","21.3657650332","14.7227663669","5.92478058248","-15.992313683","-55.9340974964"
"0.0464842105263","-197.965386457","-47.1226595477","-92.7130313605","-146.84430671","-197.965386843","-231.796431613","-234.759317369","-205.799774279","-155.913225614","-84.6725984674","1.96483240573","94.6927081067","183.252024486","257.692574425","309.337710542","329.787580554","297.654901918","228.166215652","155.188482094","93.4979521266","50.141411311","25.078674165","12.1730980902","1.8181445505","-15.8072228771","-47.1226596806"
"0.0474947368421","-180.809032767","-38.5783042241","-76.5738782403","-126.489702188","-180.809034453","-227.793187165","-253.106653292","-243.955424825","-204.227890497","-140.867321063","-60.2694684688","28.7395718822","116.466385","193.243692482","250.466838437","281.486113532","272.60182123","226.81334125","167.595650613","109.937148111","63.3393438985","31.7012840789","12.929521356","0.549862783168","-14.0883397827","-38.5783049945"
"0.0485052631579","-165.520240209","-30.5292927869","-61.9020283465","-108.169350896","-165.520239931","-224.540518762","-270.56415223","-280.084620394","-249.085617932","-191.8088305","-115.091616199","-27.4798869724","61.437706111","141.892516171","205.055744753","244.748080672","254.860718754","230.093174379","183.095413288","128.595808783","78.3917662086","40.0745919005","15.3056870958","0.497875731012","-11.8984051057","-30.5292925028"
"0.0495157894737","-153.006956746","-24.1868305315","-48.9710735538","-91.8563907344","-153.006956686","-225.521078107","-294.909252608","-327.458709909","-307.069796585","-255.603886453","-181.520326906","-93.3478027225","-0.977422623937","85.3152108943","156.241098687","206.213724986","236.560853595","234.488975743","200.861892151","149.670615701","95.2310466907","49.1695856291","17.3409849614","-0.714683695166","-11.3043686259","-24.1868305084"
